est_diameter_min,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
0.1864468182999999,0.41690776,39229.644908565,40487072.61695149,20.77,True
0.185590173,0.4149922428,53827.2275696582,43562115.76140248,20.78,False
0.0242412481,0.0542050786,83396.3917496058,3169073.229714594,25.2,False
0.0092162655,0.0206081961,42248.6331374077,26987361.02262872,27.3,False
0.0127219879,0.0284472297,42893.832674814505,56508458.26724875,26.6,False
0.1091327192,0.2440281788,67525.2823131569,24584217.906830464,21.933000000000003,False
0.02658,0.0594346868,58873.1089357249,3666915.104397032,25.0,False
0.0291443905,0.0651688382,48683.0274538259,4181996.5927389087,24.8,False
0.1108038821,0.2477650126,54517.207532571,5918088.999558979,21.9,True
0.2914439045,0.6516883822,26000.021085225097,45464780.8486923,19.8,False
0.844413128,1.8881651553,88118.87616767881,38144008.34982034,17.49,False
0.1756123185,0.3926810818,35342.1203297827,53757224.8436197,20.9,True
0.2315021222,0.5176544822,64309.3593923826,52931143.52054654,20.3,False
0.0073207399,0.016369672,29601.796431476298,72318403.75414716,27.8,False
0.1460679643,0.3266178973999999,57476.6889463501,23725897.71917976,21.3,True
0.2480589932,0.5546767711,89444.55511455119,58241512.96964017,20.15,False
0.0421264611,0.0941976306,35838.127169329906,3699124.139159299,24.0,False
0.3051792326,0.6824015094,56126.431582789,13871092.704775147,19.7,True
0.1394938228999999,0.3119176705,71119.3738407894,7733933.706372192,21.4,True
0.1616422833,0.3614431336,71634.3019152217,57418707.12185024,21.08,True
0.1480999721,0.331161605,79197.0390680965,41110273.49747101,21.27,True
0.1272198785,0.2844722965,19503.3486551599,62592171.57158062,21.6,True
0.1272198785,0.2844722965,110199.7673271968,31799793.61735225,21.6,True
0.0242412481,0.0542050786,25615.7958248541,8783696.68182782,25.2,False
0.0138214936,0.0309057992,42735.4343481794,686906.086273932,26.42,False
0.2492039814,0.5572370428,68875.53723655701,32984080.02400032,20.14,True
0.1034081994999999,0.2312277636,32218.3867212027,9136099.462416897,22.05,True
0.0063760979,0.0142573883,49242.1019384729,31825954.395270634,28.1,False
0.1838886721,0.411187571,80692.7504182405,57880310.94705621,20.8,True
0.3669061375,0.8204270649,94183.5322576814,74329329.10992879,19.3,True
0.2848098313,0.6368541435,87912.0255588325,56405627.65344858,19.85,True
0.0921626549,0.2060819612,76194.73649889941,58803133.26327461,22.3,False
0.4023045797999999,0.8995803882,58859.3209069127,45641995.90667407,19.1,True
0.2538370294,0.5675968529,68897.0173754394,10487658.712445669,20.1,True
0.1108038821,0.2477650126,83521.516320369,48894562.95390944,21.9,True
0.0542693946,0.1213500553999999,47545.9338226662,47772481.42101777,23.45,False
0.2111324448,0.4721064988,46973.0965285879,20001961.69617629,20.5,True
0.3841978910999999,0.8590926012000001,70872.83012864379,35353766.75799624,19.2,False
0.1756123185,0.3926810818,66430.8538850405,37405463.96606129,20.9,True
0.4330668854999999,0.9683669947,96819.0567487556,31025644.55157875,18.94,True
0.0291443905,0.0651688382,21986.9359816226,37206830.77159461,24.8,False
0.2140695896999999,0.4786741544,67713.24632679,57885636.91546416,20.47,True
0.1764229081,0.3944936153,78710.46856526559,71348578.75956091,20.89,True
0.1677084622,0.3750075218,35359.2677199736,11296929.57326906,21.0,True
0.1925550782,0.4305662442,6532.8779611768,49304184.81044354,20.7,False
0.2783267681,0.6223575734000001,73761.4544823482,40136091.12084592,19.9,False
0.1838886721,0.411187571,37314.5169837985,22158103.469621807,20.8,False
0.0439091446,0.0981838322,21453.2326565807,51640935.35931049,23.91,False
0.3841978910999999,0.8590926012000001,93052.3526884433,59249981.77184929,19.2,True
0.1394938228999999,0.3119176705,59137.525995512005,33128041.7493687,21.4,True
0.0219055911,0.0489823908,26628.2319509962,17584854.48688119,25.42,False
0.022108281,0.0494356193,30082.891343903106,15141284.461568171,25.4,False
0.0305179233,0.0682401509,52595.231439656505,59352723.86858978,24.7,False
0.2180494405,0.4875733714,63273.701926153095,39516206.37631069,20.43,True
0.2210828104,0.4943561925999999,73949.4644612389,19924789.28625024,20.4,True
0.1616422833,0.3614431336,43307.9629834968,64850459.96744509,21.08,True
0.0278326768,0.0622357573,60216.6480938201,1314972.00920415,24.9,False
0.4060270582999999,0.907904103,57334.2455126506,68680127.2321491,19.08,True
0.2492039814,0.5572370428,100502.0149493185,73486595.79362956,20.14,True
0.058150704,0.284910942017317,83876.93648697781,5538529.47827221,23.3,False
0.0022108281,0.0049435619,12832.8766612132,19643454.75401932,30.4,False
0.1970402621,0.4405954204,34649.227619101,69763815.60864908,20.65,False
0.0319561887,0.0714562102,38139.4905001434,7082595.441197555,24.6,False
0.2609486032999999,0.5834988154999999,101269.6953311048,39968958.9144228,20.04,True
0.1272198785,0.2844722965,85151.9288185146,48346295.00320208,21.6,True
1.6238839022,3.6311147929,87507.2692821992,38907046.18339746,16.07,True
0.1332155667,0.2978790628,87297.710494352,41304916.45299139,21.5,True
0.1460679643,0.3266178973999999,45598.6904849093,74492356.09648274,21.3,True
0.0139493823,0.0311917671,69432.8142734971,42668997.79272852,26.4,False
0.2210828104,0.4943561925999999,29428.2516295097,28433923.49206544,20.4,False
1.038855101,2.3229506246,98490.58081365132,66352953.56492487,17.04,True
0.0334622374,0.0748238376,45085.7048099342,8170905.165177999,24.5,False
0.1160259082,0.2594418179,47642.3961080915,15038389.0569305,21.8,False
0.040230458,0.0899580388,15924.2779100144,49025295.5451565,24.1,False
0.008405334,0.0187948982,31687.00526450009,39563842.48197968,27.5,False
0.1272198785,0.2844722965,116043.2614690816,70561464.80934365,21.6,True
0.1943367684,0.4345502246,51000.7027147888,51143989.14203554,20.68,True
0.1160259082,0.2594418179,77664.9431675916,61763240.15476757,21.8,True
0.0732073989,0.1636967205,78168.3923598059,66599854.97590045,22.8,False
0.0060891262,0.0136157002,30241.6550116018,28383460.33072854,28.2,False
0.0319561887,0.0714562102,29640.9744498812,9658066.26752446,24.6,False
0.3065878759,0.6855513317,39558.584244775,3676079.006159835,19.69,True
0.3669061375,0.8204270649,89284.3656328951,28748950.08258309,19.3,True
0.2180494405,0.4875733714,41973.7225810525,60689702.87637453,20.43,True
0.0120380177,0.0269178258,55608.921454133495,36700259.32264534,26.72,False
0.1237527837,0.2767196367,72265.8888106369,27139501.517866384,21.66,True
0.1123453176999999,0.2512117673,28411.4298757387,25853092.080383465,21.87,True
0.0038419789,0.008590926,52492.4980836106,36416373.95225368,29.2,False
0.4212646106,0.9419763057,73617.0234454094,44855052.48306881,19.0,False
0.1529519352999999,0.3420109247,68178.70151603389,20697924.093424924,21.2,True
0.0530340723,0.1185877909,25503.0000095308,37217771.58189749,23.5,False
0.3913406631,0.8750643252,37905.2029272283,9866411.11635495,19.16,True
0.0175612318,0.0392681082,24704.9929444706,12758279.881914008,25.9,False
0.0201629919,0.0450858205999999,15455.5373209809,12044353.667717269,25.6,False
0.2658,0.5943468684000001,51217.1073993834,28628691.720842164,20.0,True
0.1529519352999999,0.3420109247,54624.976558469294,49320614.35163694,21.2,True
0.2424124811,0.5420507863,85490.82828366049,59975865.76266917,20.2,True
0.1838886721,0.411187571,54326.72714158481,42053749.28066181,20.8,False
0.040230458,0.0899580388,40796.9476259951,23821732.79250363,24.1,False
0.233644185,0.5224442801,53217.8478504068,37035433.99365118,20.28,True
0.1460679643,0.3266178973999999,66538.449046881,30208272.547220822,21.3,False
0.1529519352999999,0.3420109247,53527.7064001658,36751902.75133739,21.2,True
