Регион,Год,Доходы гостиниц и аналогичных средств размещения,Число гостиниц и средств размещения,Численность размещенных лиц в гостиницах и ананлогичных средствах размещения,Число ночевок в гостиницах и ананлогичных средствах размещения,"Средняя численность работников, включая внешних совместителей",Число туристских фирм,"Средства, поступившие от реализации туристкого продукта",Число реализованных турпакетов населению
Ханты-Мансийский автономный округ - Югра (Тюменская область),2002,,,,,308.0,40.0,,
Ханты-Мансийский автономный округ - Югра (Тюменская область),2004,,,,,208.0,37.0,,
Ханты-Мансийский автономный округ - Югра (Тюменская область),2005,,,,,223.0,43.0,,
Ханты-Мансийский автономный округ - Югра (Тюменская область),2006,,,,,277.0,48.0,,
Ханты-Мансийский автономный округ - Югра (Тюменская область),2007,,,,,361.0,62.0,,
Ханты-Мансийский автономный округ - Югра (Тюменская область),2008,,,,,361.0,67.0,,
Ханты-Мансийский автономный округ - Югра (Тюменская область),2009,,,,,207.0,51.0,,
Ханты-Мансийский автономный округ - Югра (Тюменская область),2010,2228536.39,136.0,362715.0,965877.0,345.0,88.0,,20519.0
Ханты-Мансийский автономный округ - Югра (Тюменская область),2011,2040628.19,138.0,308806.0,886058.99,325.0,96.0,250289.59,26776.99
Ханты-Мансийский автономный округ - Югра (Тюменская область),2012,2465505.6,164.0,397251.0,1280459.0,436.0,114.0,262968.49,30207.0
Ханты-Мансийский автономный округ - Югра (Тюменская область),2013,2720895.1,180.0,456728.99,1376499.0,500.0,148.0,299289.9,36163.0
Ханты-Мансийский автономный округ - Югра (Тюменская область),2014,2954950.8,182.0,423365.99,1321813.99,553.0,161.0,359773.9,37618.99
Ханты-Мансийский автономный округ - Югра (Тюменская область),2015,2515767.7,201.0,398958.99,1068336.0,370.0,118.0,982987.6,16736.0
Ханты-Мансийский автономный округ - Югра (Тюменская область),2016,2442687.0,236.0,453930.99,995512.0,,121.0,611172.7,20550.0
Ханты-Мансийский автономный округ - Югра (Тюменская область),2017,2264695.5,245.0,492977.99,1050727.0,,149.0,467844.0,42539.0
Ханты-Мансийский автономный округ - Югра (Тюменская область),2018,2089543.19,250.0,511652.0,1141768.0,,158.0,433333.6,33817.0
Ханты-Мансийский автономный округ - Югра (Тюменская область),2019,2282701.6,210.0,485098.99,1055237.0,,153.0,533165.8,35231.0
Ямало-Ненецкий автономный округ (Тюменская область),2002,,,,,11.0,3.0,,
Ямало-Ненецкий автономный округ (Тюменская область),2004,,,,,46.0,7.0,,
Ямало-Ненецкий автономный округ (Тюменская область),2005,,,,,18.0,6.0,,
Ямало-Ненецкий автономный округ (Тюменская область),2006,,,,,20.0,7.0,,
Ямало-Ненецкий автономный округ (Тюменская область),2007,,,,,53.0,10.0,,
Ямало-Ненецкий автономный округ (Тюменская область),2008,,,,,63.0,16.0,,
Ямало-Ненецкий автономный округ (Тюменская область),2009,,,,,66.0,7.0,,
Ямало-Ненецкий автономный округ (Тюменская область),2010,724074.4,67.0,97174.0,298573.0,98.0,8.0,,1237.0
