Старт,,,,,,,,,,,,,,,,,
#####,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ханты-Мансийский автономный округ - Югра (Тюменская область),,,,,,,,2228536.39,2040628.19,2465505.6,2720895.1,2954950.8,2515767.7,2442687,2264695.5,2089543.19,2282701.6
Ямало-Ненецкий автономный округ (Тюменская область),,,,,,,,724074.4,826791.3,942051,905200.6,871948.1,908662.89,1005690.2,1001489.7,1116225.6,1388261.4
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),,,,,,,,,,1398139.4,1646036.2,1642570.1,1689217.5,1940716.3,1861785.79,2432762.4,2537705.9
Республика Алтай,,,,,,,,123369.4,265508,269770.3,269770.3,425207.4,720724.6,1015143.3,624930.69,682875.7,851700.69
Республика Бурятия,,,,,,,,484863.1,598606.1,773250.8,791893.1,733217.6,733627.8,769151,711432.8,721899.3,825707.9
Республика Тыва,,,,,,,,72145.7,60273.7,74517,80108,81551.4,80778.7,71767.8,79734.7,91587.1,102238.6
Республика Хакасия,,,,,,,,199672.2,240483.9,246157.7,220832,386540.4,433603,316888.1,389030.1,436645.69,428159.2
Алтайский край,,,,,,,,725600.3,847640.3,927587.9,888997.7,927467.7,906521.7,1055559.6,1301872.39,1479714.4,1526298.6
Забайкальский край,,,,,,,,388529.1,460323.1,860796.9,617958.1,642201.4,535659.3,645164.4,595405.1,658860.1,689552.4
Красноярский край,,,,,,,,1215284.4,1360547,1575651.7,1760334.49,1777793.29,1650461,2054491.79,2332009.6,2777702.4,2972394.2
Иркутская область,,,,,,,,1279836.5,1475211,1633443.39,1807069.9,1689557.2,1882464.6,2275275.9,2549259.6,2854936.6,3299993.2
Новосибирская область,,,,,,,,1184190.3,1572685.8,1955636.6,2365089.29,2344230.19,1782228.9,2771074.2,3117069.2,3376319.2,3793406.9
Омская область,,,,,,,,452391.8,682851.5,886018.9,1041200.4,1070380.5,1108145.6,848321.3,920007.7,1202470.5,1279288.1
Томская область,,,,,,,,473174.4,493720.7,501149.79,491025.7,417181.4,535920.4,705352.8,721877.7,747416.6,845138.1
#####,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ханты-Мансийский автономный округ - Югра (Тюменская область),,,,,,,,136,138,164,180,182,201,236,245,250,210
Ямало-Ненецкий автономный округ (Тюменская область),,,,,,,,67,59,72,63,64,81,87,93,100,103
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),,,,,,,,,,74,101,107,138,148,162,169,198
Республика Алтай,,,,,,,,113,127,131,131,105,120,100,101,103,110
Республика Бурятия,,,,,,,,124,175,193,233,203,241,256,280,254,244
Республика Тыва,,,,,,,,15,15,17,19,17,20,17,14,17,16
Республика Хакасия,,,,,,,,35,34,36,21,41,50,39,49,54,47
Алтайский край,,,,,,,,155,167,202,200,188,233,232,316,315,318
Забайкальский край,,,,,,,,89,96,105,105,114,115,117,120,123,131
Красноярский край,,,,,,,,198,182,216,240,211,219,265,280,301,288
Иркутская область,,,,,,,,175,193,202,215,240,223,211,252,272,282
Новосибирская область,,,,,,,,91,97,117,148,150,150,166,206,205,201
Омская область,,,,,,,,70,72,75,83,85,150,173,113,139,125
Томская область,,,,,,,,61,60,59,61,58,67,141,144,168,157
#####,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ханты-Мансийский автономный округ - Югра (Тюменская область),,,,,,,,362715,308806,397251,456728.99,423365.99,398958.99,453930.99,492977.99,511652,485098.99
Ямало-Ненецкий автономный округ (Тюменская область),,,,,,,,97174,106999,162944,144552.99,114508.99,157285,139229,156157,163501,208076
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),,,,,,,,,,385106.99,401671.99,345848.99,349311.99,400218,451007.99,559528.99,645375
Республика Алтай,,,,,,,,54600,96165.99,99764.99,99764.99,105235,129922.99,140445.99,91307,92433,110040
Республика Бурятия,,,,,,,,189980,246365.99,302553,309924,251684.99,244628,260952.99,290187.99,268764.99,304293
Республика Тыва,,,,,,,,33627,33819,36229.99,38298,25763,23485,18354.99,22889,20422.99,24183
Республика Хакасия,,,,,,,,60014.99,64474,69016,65134,93941.99,98906,53952,79232,125627,139439
Алтайский край,,,,,,,,284060.99,304891,340857,346834.99,303433,347622.99,321489.99,394341,402375,418221.99
Забайкальский край,,,,,,,,168709.99,198324,196106,207735.99,187179,171111.99,170843.99,177270.99,188585,196731.99
Красноярский край,,,,,,,,442035.99,422787,464148,612214.99,478637.99,382842,445037.99,467276,555200.99,621561.99
Иркутская область,,,,,,,,420219.99,469602,558295.99,601806,559686.99,708452.99,575881,650221.99,733380,784077.99
Новосибирская область,,,,,,,,292761,355165,381531.99,568176,531256,405406,637120.99,677825,821249,875096.99
Омская область,,,,,,,,158363,233474,296926,315899,287193,248838,177768.99,223880.99,290339.99,314921
Томская область,,,,,,,,119844.99,115347.99,116991.99,115645.99,94822.99,70491.99,189645.99,192340,207340,191059.99
#####,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ханты-Мансийский автономный округ - Югра (Тюменская область),,,,,,,,965877,886058.99,1280459,1376499,1321813.99,1068336,995512,1050727,1141768,1055237
Ямало-Ненецкий автономный округ (Тюменская область),,,,,,,,298573,418013,490666.99,450729,415274,302406,252037.99,297168.99,328119,394690
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),,,,,,,,,,806084,864815.99,879985.99,942451.99,957653.99,913105,1121993,1130379
Республика Алтай,,,,,,,,112405.99,262723.99,237811,237811,241903,288012,277168,189593,191253,227467.99
Республика Бурятия,,,,,,,,376642.99,484243,628779.99,626896,454142.99,436745.99,457134,603962,472399.99,541500
Республика Тыва,,,,,,,,45010,61074,52955,59516,60613.99,50786,36835,43027,42735,49618.99
Республика Хакасия,,,,,,,,142374,184060,165633.99,175784.99,476831.99,662261,379482.99,212909.99,220017.99,235029
Алтайский край,,,,,,,,521508.99,552745.99,670156,631507.99,630826.99,715713.99,788967,959387.99,864685,971500.99
Забайкальский край,,,,,,,,508978,455635,321641,351782.99,320303,298284.99,341787.99,341073,396270.99,445321
Красноярский край,,,,,,,,1054919,1054905,1133376,1376087,1057170,1087642,988548.99,1374169.99,1311379,1502771
Иркутская область,,,,,,,,964198.99,1066258,1010432,1243937,1107175,898351.99,928839.99,1093422,1260992,1385637
Новосибирская область,,,,,,,,706470,711008.99,851551.99,1049637,1048371,927453.99,1330312,1477582.99,1664442,1847291.99
Омская область,,,,,,,,369255,473038.99,644655,644636,546901,502052,365424,448090.99,872026.99,684701.99
Томская область,,,,,,,,249418.99,245460,244804.99,219681,198855.99,168025.99,343986.99,468973,453660.99,414232.99
#####,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ханты-Мансийский автономный округ - Югра (Тюменская область),308,208,223,277,361,361,207,345,325,436,500,553,370,,,,
Ямало-Ненецкий автономный округ (Тюменская область),11,46,18,20,53,63,66,98,92,60,62,64,110,,,,
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),,,,,,,,,,,534,588,944,,,,
Республика Алтай,14,341,23,18,26,75,103,300,212,204,227,181,349,,,,
Республика Бурятия,102,188,195,213,193,237,198,262,238,237,179,201,139,,,,
